бабушка,мамочка,тетя,папа,мамин,мама
генев,хейрдал,впольованый,лутау,златошерстный,тур
помогать,оказывать,понадобиться,нужный,прибегать,помощь
сущому,прамати,славленний,зачалось,поклонишся,добра
склера,трихиаз,сетчатка,роговица,симблефарон,глазной
с,он,как,из,к,в
асанкулов,ельци,огуренков,снагостский,электросетьстрой,месяцев
як,ще,що,його,вже,з
з,ще,як,що,сво,й
он,в,с,как,из,к
в,он,как,к,из,с
сво,хессид,д,н,вс,х
поразительный,необыкновенный,необычайный,невероятный,изумительный,удивительный
хоронить,погребение,похоронный,траурный,похоронить,похороны
находить,отыскивать,поиск,разыскивать,поискать,искать
давный,рыдаться,хохок,шутькая,кингсберри,давнымдавно
ханоша,невнятно,торпеддер,каоха,догадываться,чтото
солист,симфонический,оркестр,в.и.ингель,концертный,ансамбль
пьеса,комический,комедиограф,драма,комедийный,комедия
работати,эрменонвилльский,дрэкуль,кюльзюм,тлейлаксанский,господина
жемчужный,жемчужина,ожерелие,самоцвет,изумруд,жемчуг
голубка,птица,воробей,ворона,голубок,голубь
гонка,гоночный,бионнский,феррари,велотур,гонщик
сказочный,рассказ,сказочка,ш.перро,сказочник,сказка
цветок,цвести,лианоподобный,распускаться,лепесток,цвета
господо,рассвистеться,прийматься,содруг,бог,богов
радио,радиостанция,диэтиловый,эфирный,приемник,эфир
струнный,трио,фортепиано,соната,виолончель,квартет
малярия,апеу,болезнь,весселсброн,чикунгунья,лихорадка
сделать,поэтому,понимать,продолжать,какой,делать
викличемо,присилують,клянемось,побалакають,поклопотатися,пришла
женщина,девочка,юноша,девица,хорошенький,девушка
тритемиус,заклинание,вафлинг,магический,фолиант,гримуар
дьявол,сатана,ведьма,пэрри,суккуб,дьяволица
полнолуние,астрономический,астроном,новолуние,луна,затмение
замышлять,намерение,злонамеренный,сговор,виновный,умысел
заревать,мордашка,рожица,хорошенький,носик,личико
отпирать,запирать,ключик,отмычка,замок,ключ
виись,дректисить,визволитисеться,тисяцьким,стятися,стать
сорамный,падзе,апошняга,абрысый,спрабава,был
везучий,йоринмук,бесталанный,неудачник,невезение,невезучий
генетический,мутационный,эволюция,организм,генотип,мутация
водоросль,планктонный,капшак,фитопланктон,зоопланктон,планктон
стартовать,стартовый,финиш,запуск,посадка,старт
шум,доноситься,гул,слышный,протяжный,звук
гуманитарный,ученый,интеллектуал,социолог,интеллигенция,гуманитарий
взрослый,преклонный,зрелый,возрастной,подросток,возраст
бал,танцевальный,зала,танцевать,танец,бальный
оскаливать,коготь,зуб,оскаливаться,челюсть,клык
водла,лепсы,садиться.шуя,ктм2,ю.шуя,вам
гаймара,аймерик,бедиль,гефье,8999,вас
величина,вр.посл.мода,объем,превышать,громадный,размер
вопрос,отвечать,объяснение,задавать,утвердительный,ответ
целиться,стрелять,прицеливаться,прицел,стрельба,мишень
алхимический,алхимия,артефий,неттесгеймский,люллий,алхимик
дцы,питынуть,нтика,имби,икиф,яйца
оказываться,который,какой,считать,такой,самый
благоговейный,страх,трепетать,благоговение,трепетный,трепет
цветок,фиалка,аленький,георгин,цветочный,цветочек
викторинька,паглиато,филонс,стригелий,клаустрон,твоя
преисподняя,адский,рай,геенна,рая,ад
ключица,грудина,бок,позвонок,лопатка,ребро
птенец,свивать,гнездышко,гнездовье,гнездиться,гнездо
папаша,шарида,мать,матушка,старуха,мамаша
повалить,саламалейкум,бомжуедать,валиться,видиралисить,валить
бороться,схватка,побеждать,политический,непримиримый,борьба
свечение,сиять,озарять,мерцать,ослепительный,сияние
туча,облако,небосвод,горизонт,небесный,небо
щенок,овчарочка,сафнан,собачка,тотошенька,щеночек
французский,британский,англия,американский,англичанин,английский
столетие,эпоха,тысячелетие,десятилетие,двадцатый,век
богородица,пречистый,святой,богоматерь,дева,пресвятой
байма,присклоновый,хуаюн,учэншань,сиэрхэ,рока
жалко,рад,подумать,думать,ах,жаль
он,как,к,с,м,вы
свеча,потушить,факел,лампа,спичка,зажигать
дружба,привязанность,родство,связывать,нерасторжимый,узы
му,изий,дпл,октябрь,нейшлый,го
вымогательство,шантажировать,подкуп,афера,мошенничество,шантаж
выворачивать,выворачиваться,вывертываться,изнанка,вытряхивать,наизнанку
неравнобедренный,равнобедренный,равносторонний,квадрат,окружность,треугольник
убийство,преступник,убивать,злодей,преступление,убийца
ла,д,нуармуатье,невиливать,нервиль,де
торговля,товар,купец,торговец,купеческий,торговый
самостоятельный,независимость,зависимый,суверенный,государство,независимый
букет,цветок,маргаритка,бутон,лепесток,роза
откровенно,обиняк,поговорить,потолковать,утайка,начистоту
мартышка,обезьяна,обезьяний,зверек,сагуй,обезьянка
энергия,телеприказ,электромагнитный,интерорецептор,эхосигнал,импульс
утка,гусь,цыпленок,гусенок,лебедь,утенок
репнинская,русски,цхумария,английски,микош,порусски
в,он,с,как,к,из
ярдан,глиасон,бусеть,хичкоком,барфордский,рода
замысел,проект,задумывать,осуществление,намечать,план
автобусный,электричка,такси,поезд,туменский,автобус
невгасимия,проснуся,забивався,побобраться,теплон,демонов
килограмм,0,048,0,095,40кг,0,012,кг
обращаться,подходить,сюда,мой,свой,ко
жаловать,прибывать,здравствовать,приезжать,энкомьенда,пожаловать
менеджер,гиперсреда,пользователь,администрирование,беспарольный,администратор
улица,улочка,переулок,предместье,авеню,квартал
эпос,уснех,греттире,скрэйт,вельсунг,сага
предел,досягаемость,всякий,манчиский,существовать,вне
русалчин,ло,мильорд,гудь,ковальова,ле
из,в,с,через,челов,вон
грабитель,воришка,воровской,жулик,преступник,вор
как,он,в,с,м,вот
повесть,автор,сюжет,повести,писатель,роман
3ося,б,коло,глибочицько,колимага,ля
море,океан,озеро,вода,воды,вод
тюрьма,бегство,беглец,зерентуйский,покушение,побег
поручение,задание,посланник,дипломатический,выполнение,миссия
с,в,как,м,он,мы
мисс,мистер,леди,арвуд,энн,миссис
завод,текстильный,фабричный,фабрикант,мануфактура,фабрика
отвага,доблестный,храбрость,подвиг,мужество,доблесть
страшный,жуткий,отвратительный,ужасающий,чудовищный,ужасный
резухин,израенко,нач.штаб,алчевск,панякин,воинов
это,он,с,тский,встр,об
выше,уровнь,низкий,сверхнаука,высокий,уровень
как,в,с,к,м,он
в,он,с,к,как,от
преподавательница,школьный,ученица,учитель,школьница,учительница
это,он,в,от,с,все
впереди,сзади,приближаться,слева,отдаление,позади
припарковывать,багажник,автомобиль,машина,автостоянка,гараж
трещина,вулканический,брисго,тектонический,туманообразный,разлом
илахайл,друлла,линниг,бьярка,паладайн,холмов
вернемося,передання,займалось,роздмух,перекраять,стар
паспа,павага,прыслуха,мажл,адкрылася,стал
игебель,писаревый,ясши,ясший,азочный,су
жертвенный,принесение,жертвоприношение,семидать,заколать,жертва
ураган,гроза,шторм,шквал,бушевать,буря
в,как,с,он,из,то
мизраха,амраться,авидар,эймингтон,ярославер,двора
университет,факультет,преподаватель,студентка,студенческий,студент
как,в,из,он,вы,уж
контректация,страсть,чувственность,инстинкт,сексуальный,влечение
ушкова,двоефедя,демидов,пароходка,обнизы,ушки
полковник,лейтенант,подполковник,генерал,сержант,майор
лимонна,несмачний,печиво,юватиться,висмоктава,фруктов
подарить,преподносить,дарить,агъдау,подношение,подарок
атрактив,вщухлый,викрутити,одцура,закрутять,верь
скачки,скачка,прыжок,стремительный,бег,скачок
рощица,лес,тенистый,холм,опушка,роща
многоцветный,переливаться,радужный,семицветный,фиолетовый,радуга
императорский,императрица,империя,государь,величество,император
судно,борт,крейсер,флот,эскадра,корабль
король,кахафра,принцесса,принц,королевский,королева
вынесение,обвинительный,вердикт,казнь,судья,приговор
пятнышко,красноватый,желтый,темнеть,цвет,пятно
селекция,подбор,ортогенез,отсев,генетический,отбор
дискотека,марьячи,кафе,ресторан,минусовка,караоке
мятеж,восстание,бунтовать,бунтовщик,подавление,бунт
физика,биология,химический,химик,математика,химия
валсорден,пагензанд,мель,фвк,циммерманпольдер,фарватер
способность,умение,умственный,потенциал,незаурядный,способности
эсминец,линкор,миноносец,эскадра,авианосец,крейсер
снаружи,внутри,извне,внутрь,наружу,изнутри
развитие,следствие,изменение,деятельность,функция,процесс
зовуток,поидет,спужать,баклачиха,форц,дураков
колечко,обручальный,браслет,нэнья,ожерелие,кольцо
телефон,телефонный,отель,гостиница,эймингтон,номер
злисить,намучився,саутский,тиберж,стежечок,вели
библиотека,библиотечный,библиотекарша,книгохранилище,арундельский,библиотекарь
ым,ые,ия,кото,ых,ый
артокарпус,созревать,мускатник,аутозит,физалис,плод
север,восток,запад,юго,южный,юг
сотворих,глаголющий,приидеши,приидешь,пришедый,небес
соблазнять,обольститель,совратитель,обольщать,искуситель,соблазнитель
отрава,отравлять,ядовитый,противоядие,медленнодействующий,яд
вовсе,равно,вообще,иначе,хотеть,никто
зной,духота,жаркий,жарко,палящий,жара
кряду,просиживать,ночь,допоздна,бессонный,напролет
берилюн,волшебный,волшебница,карабос,уриск,фея
канарейка,попугайчик,мартышка,какаду,птица,попугай
пиратский,корсар,разбойник,пиратство,флибустьер,пират
металл,нержавеющий,стальной,железо,высоколегированный,сталь
назбирають,помийницю,покришивать,яловичинять,налисник,яйця
прошлый,будущее,воспоминание,настоящее,минувший,прошлое
интеллектуальный,разум,способность,мышление,умственный,интеллект
беллона,зевс,мнемосина,доолимпийский,церерыть,гея
шайка,банда,бандит,сообщник,головорез,главарь
луна,солнечный,свет,сияние,солнце,лунный
докажемо,врозмовниця,понаписувано,нтенц,одмовитись,доказать
концерт,локенхауз,он.ленсовет,конкурс,свезар,фестиваль
нейс,керрелгирло,бинк,райфлмен,аймбри,стайл
чудесный,удивительный,сотворить,творить,дивный,чудо
грузовик,повозка,кузов,фургончик,пикап,фургон
сладкий,сласти,конфета,сладостный,лакомство,сладость
безрадостный,тоскливый,мрачный,однообразный,скучный,унылый
четверка,пятерка,тройка,карагема,4884,двойка
наука,медицинский,медик,врачебный,хирургия,медицина
экономический,кризисный,конфликт,крах,экономика,кризис
задуйвитр,лазарев,спиридонов,кольцов,вознюк,байков
раб,наложница,служанка,невольница,раба,рабыня
ситуация,затруднительный,обстоятельство,условие,состояние,положение
король,герцогство,империя,королевский,владение,королевство
грешник,эсраил,поядающий,непоклониться,искупительница,грешников
роэенберг,выделяться,шенхаузен,фильнек,ландесгауптман,фон
девятка,шестерка,восьмерка,пятерка,четверка,семерка
обусловливать,развитие,возникновение,воздействие,аспект,фактор
планета,планетоподобный,разведракета,форнакс,финдия,планет
великан,0276,уродец,мумуся,гигант,карлик
десятилетие,полвека,век,столетие,семидесятый,год
ковбойский,техас,ранчер,мексиканец,ведб,ковбой
господство,завоевывать,покорение,завоеватель,экспансия,завоевание
сражение,бой,схватка,сражаться,кровопролитный,битва
гениальный,гениальность,посредственность,творческий,дарование,гений
взрывчатка,динамитный,взрывать,взрывчатый,пироксилин,динамит
родитель,патохарактерологический,гиперсоциализировать,сибс,гиперопека,родители
институт,университет,факультет,академик,наука,академия
родитель,мать,девочка,мальчик,взрослый,ребенок
учительница,классный,школьный,завуч,рукоблудство,училка
сдавайс,чертенячий,айдым,онежец,рыдающе,сдавайся
ветерок,дуть,дуновение,задувать,дождь,ветер
фантазер,идеалист,мечта,романтик,мечтание,мечтатель
последний,начало,который,кончаться,начинать,конец
бастион,цитадель,гарнизон,укрепление,осада,крепость
пятьсот,шестьсот,триста,двести,пятьдесят,четыреста
збройный,пкно,штван,збройна,сдрп,народов
надевать,энкихегаль,ношение,одевать,щеголять,носить
наука,исследование,научно,ученый,исследовательский,научный
высадка,десантный,высаживаться,десантник,плацдарм,десант
момми,джеголомать,арчевой,онота,верхнешавлинский,хотя
пять,пятнадцать,тридцать,десять,шесть,двадцать
шестеро,пятеро,четверо,трое,двое,семеро
стрелка,стрелять,снайпер,мишень,роланд,стрелок
девочка,школьник,девчонка,учительница,школьный,школьница
ткань,обтягивать,волос,щека,незагоревший,кожа
долобск,поидет,изяслав,владимирок,тотмич,братья
гржимов,1,2м,загущение,денышко,сувак,которой
мечтание,греза,мечтать,несбыточный,лелеять,мечта
помниша,всесвятый,мф.24,пришедый,пресвяты,сидящий
подарок,даровать,талант,дарить,щедрый,дар
волос,причесывать,локон,налаченный,зачесывать,прическа
три,оба,четыре,несколько,небольшой,два
экзамен,преподаватель,инъяз,студент,гильмар,репетитор
взять,рука,зажимать,полагать,вытягивать,держать
необыкновенный,особый,удивительный,необычайный,необычный,особенный
бритва,маникюрный,бритвенный,скальпель,щипцы,ножницы
прокат,биснага,арендовать,маркетт,купить,напрокат
тчизнянить,забрудненний,правопорушенний,полюся,обдарованост,виживання
самоисцеляться,сибварра,навруун,нуллада,шривирр,дев
напойный,отдать,городех,акимко,убойство,дел
преступление,убийца,рецидивист,злодей,сообщник,преступник
сатана,демон,дьявольский,черт,пулиан,дьявол
сверхсекретный,засекречивать,агент,агентурный,секретность,секретный
колдун,волшебник,маг,магия,магический,чародей
справедливость,судья,судопроизводство,преступник,судебный,правосудие
битлз,сингл,вдержишся,стоунз,01039,хит
савитри,скрылось,прадионисийство,с.205,слепневый,стихий
танди,демон,лунносветный,ругна,боцю,демонесса
бисерный,расшитый,вышивать,вышитый,бусы,бисер
глобусик,мультфильм,картинка,комикс,мультипликационный,мультяшный
космический,планета,межзвездный,звездолет,галактика,космос
банан,фрукт,лимон,ананас,кожура,апельсин
спасибочка,крыльский,пойдят,ещя,облегчянно,своя
солнце,луч,лунный,свет,светить,солнечный
тестирование,проверка,анализ,с.о.в.у,тестировать,тест
раздрасий,отдать,поддатьце,болшевик,племенъник,конца
который,собственный,вместе,мой,прежний,свой
роуд,авеню,стрэнд,плейс,кенсингтон,стрит
предрассудок,предвзятость,предвзятый,антипатия,убеждение,предубеждение
кустарник,заросль,трава,листва,куст,папоротник
кровать,одеяло,спальня,спать,простыня,постель
намереваться,намерен,желать,замысел,желание,намерение
диллонза,абендан,магазин,бифхарт,стьюбен,зоомагазин
пускать,поворот,вести,идти,очевидно,ход
флажок,флагшток,вымпел,знамя,штандарт,флаг
подмастерье,мастерство,резчик,мастерская,искусство,мастер
воровитый,боятец,жывуць,самодуровка,чатырох,стрел
сумрак,отблеск,темный,призрачный,свет,тень
дома,квартира,двор,улица,особняк,дом
мертвец,усопший,покойница,гроб,умерший,покойник
баронесса,мадам,служанка,господин,супруга,госпожа
земельный,продажа,аренда,бизнес,капитал,недвижимость
посла,т,с,он,из,дней
3наешь,4723,гнетить,прабриндр,9034,гоблинов
каюта,гостиная,кабина,пассажир,зал,салон
начальник,должность,служить,ведомство,чин,служба
винсом,свина,дрянинг,энсио,райторг,свин
плоть,существо,сознание,кожа,бедро,тело
усыпальница,склеп,саркофаг,могила,мавзолей,гробница
вплотную,подходить,приближаться,придвигаться,подбираться,близко
чашка,чай,кофейник,завтрак,стакан,кофе
какой,свой,самый,последний,единственный,который
всеразрушение,сверхвозможность,мощь,парасвязь,сверхзасекречивать,сверхсила
лигун,зобиджати,язуватися,корнуэлский,м.с.грушевский,миров
либо,поэтому,разумеется,поскольку,следовать,случай
потомок,столетие,потомство,десятилетие,век,поколение
стража,стражник,охранять,гарпагас,блюститель,страж
освещать,сияние,светить,яркий,луч,свет
душа,духи,воля,сила,мир,дух
ванна,побриться,ванная,ванный,растереться,душ
возлюбленный,любовник,влюбленный,возлюбить,любовница,возлюбленная
склон,равнина,подножие,вершина,долина,холм
йчин,робитимь,вкоп,йчанин,втелющивать,копа
дарование,способность,незаурядный,талантливый,гений,талант
миллиард,тысяча,полмиллиона,триллион,сотня,миллион
научный,д.а.берман,ученый,естествознание,знание,наука
избиратель,избирательный,предвыборный,голосование,баллотироваться,выборы
а105,кивелиди,журналист,котляковский,шоумэн,листьев
херувим,ангельский,архангел,небесный,господь,ангел
замуж,женатый,замужем,замужество,дочь,жениться
улитс,егом,корфакан,гангаев,литс,людей
шаман,камлание,шаманский,шаманизм,лючеткать,шаманов
муж,жена,сирота,вдовец,вдовица,вдова
вопрос,задача,аспект,трудность,актуальный,проблема
стужа,холод,морозец,морозный,замерзать,мороз
влюблять,влюбляться,любовник,возлюбленная,любовь,влюбленный
концерн,корпорация,компания,ньюклинерс,компань,фирма
загружать,файл,пользователь,утилита,загружаться,загрузка
сценодвижение,л80,смолко,социологиня,32.973,целуй
бандит,мафиози,мафия,гангстерский,мобстер,гангстер
мультфильм,катсенджеммер,иллюстрированный,фильм,голливудский,комикс
колдунья,колдун,кальек,колдовство,каррес,ведьма
устремлять,взгляд,вперять,глаз,окидывать,взор
серебро,золотой,медь,слиток,жемчуг,золото
врач,лечить,аптекарь,врачеватель,медик,лекарь
пища,питие,ужин,вкусный,кушанье,еда
пространственный,аврора,1990,3,нир,1986,11,континуум,тонограф,измерение
шоссе,путь,проселочный,проселок,проехать,дорога
драма,трагический,пьеса,драматический,шекспир,трагедия
чоппинг,вумп,брайдсмена,медэвак,трейл,чоппер
пребывать,сознание,степень,положение,образ,состояние
аиньки,секретовский,стемнеться,мастерово,пупаевой,секретов
тиран,антиалбанский,тирания,хрущевец,дуррес,тирана
общественный,социальный,государство,организация,сообщество,общество
счастие,счастливо,радость,радостный,радоваться,счастливый
войско,подразделение,армия,гарнизон,батальон,отряд
поводить,идти,вступать,проводить,ведущий,вести
съедать,пить,кушать,еда,вкусный,есть
генеалогический,ветвь,древая,плод,чуньгун,древо
стискивать,кулачок,сжинать,кулачище,ударять,кулак
миска,вилка,чашка,ложечка,столовый,ложка
дно,кромка,земля,найкращее,садиться,край
лошадь,лошадка,кобыла,гнедой,хррмф,пони
иврел,ворота,портал,луцзюнь,разкрыться,врата
мужчина,девушка,жена,женский,муж,женщина
прибой,зыбь,накатываться,всплеск,захлестывать,волна
дбереша,несправедлива,несерйозон,партз,чаргаров,назвать
луг,поля,пашня,жнивье,вспахивать,поле
дом,квартира,домой,двор,вечер,дома
процент,людськать,занехай,залежатима,звершитися,доля
риплэй,кюве,первоклассный,калтекс,расжака,экстра
принц,королева,герцогиня,высочество,лериния,принцесса
обязанный,обязательство,обязывать,обязанность,уплата,долг
ще,тод,вже,льки,як,пока
беременный,выкидыш,забеременеть,послеродовой,мертворождение,беременность
крупье,игорный,фишка,казино,азартный,рулетка
наперекор,противоречить,подчиняться,пренебрегать,несмотря,вопреки
поколение,наследство,достояние,традиция,творчество,наследие
девятый,седьмой,пятый,шестой,четвертый,восьмой
искушение,соблазнять,искушать,соблазняться,устаивать,соблазн
транзитный,вэях,автопереход,реэкспортный,шенгенский,транзит
молодость,юношеский,детство,отрочество,былой,юность
моллюск,раковина,литорина,канальца,краб,улитка
нечаянно,случайно,мимоходом,ненароком,украдкой,невзначай
телефон,звонить,телефонный,позвонить,зазвонить,звонок
элпээл,сорьтире,голоу,патова,суоего,мертвецов
осень,зима,лето,весенний,осенний,весна
затрещина,тумак,оплеуха,тычок,подзатыльник,пинок
смотреть,лицо,глядеть,взгляд,зрачок,глаз
просто,сложный,трудно,невозможно,гораздо,сложно
спина,рука,пожимать,грудь,голова,плечо
трижды,четырежды,вторично,раз,неоднократно,дважды
учиться,учитель,школьный,училище,урок,школа
меч,лезвие,ножны,кинжал,рукоять,клинок
отказываться,соглашаться,решать,предложение,настаивать,предлагать
голубизна,лазурь,синеватый,голубоватый,голубой,синева
серафима,саровский,херувим,архангел,шестикрылый,серафим
госпожа,филонс,сударь,любезный,обращаться,господин
критика,рецензент,литературовед,автор,литературный,критик
логический,мышление,диалектика,логически,рассуждение,логика
раб,рабыня,невольник,клеопаш,рабство,раба
укрытие,укрываться,прибежище,спрятаться,жилище,убежище
чудище,монстр,тварь,страшилище,зверь,чудовище
мормула,картомобиль,антикварность,велоколяска,таффет,тюнинг
шестеро,трое,пятеро,двое,семеро,четверо
азартно,азартный,задор,пыл,зарасть,азарт
круштейн,аничкин,полюстровый,рейнберг,ржановский,поцелуев
божество,афродита,жрица,артемида,зевс,богиня
шестерка,двойка,тройка,пятерка,восьмерка,четверка
лето,зима,летний,весна,осень,сезон
поэзия,стихотворение,поэтический,стих,поэма,поэт
невестка,сноха,жена,теща,мать,свекровь
день,полдень,минута,вечер,полчаса,час
воотще,пристанодержательствовать,исусов,свидетелев,духовинка,мест
виголоджен,дибля,пожилець,намовляють,руйнуваться,похорон
подвал,подземный,пещера,темница,катакомба,подземелье
упырь,оборотень,дракула,привидение,зомби,вампир
родной,близкие,родственник,семья,родня,родные
революционный,пролетариат,социалистический,пролетарский,диктатура,революция
должковый,ишутинец,г.п.у,вейтлинг,психтюрьма,декабристов
ниточка,нитка,паутина,паутинка,сефета,нить
укусить,ужаливание,пикакол,порез,искусывать,укус
любить,обожать,любимая,любовь,прекрасный,любимый
убирать,мытье,подметать,ксхама,стирка,уборка
лунный,звезда,солнце,небо,светить,луна
школьница,старшеклассник,студентка,школьник,девчонка,старшеклассница
смешной,дурацкий,дурак,глупость,нелепый,глупый
жена,мать,сын,отец,муж,дочь
оманда,опция,фламбе,блюдо,панелизация,меню
безрукова,а.п.лопухин,махао,драфира,м.о.вольф,ангелов
ментовка,комплый,ментовский,омоновец,каблучковый,мент
сумма,доллар,рубль,денежки,наличный,деньги
вопль,рев,стон,визг,кричать,крик
м,как,он,в,мы,чем
шпион,агентура,осведомитель,контрразведка,секретный,агент
кошок,шакалоподобный,обиженый,брентос,прикокнуть,собак
министр,премьер,президент,шмидбауэр,к.ээнпало,премьерминистр
лук,колчан,матфей,тетива,стрела,лука
заплакать,рыдать,слеза,навзрыд,всхлипывать,плакать
хирург,хирургический,медицина,клиника,медицинский,хирургия
14.69,паровоз,таганаш,эшелон,бронелетучка,бронепоезд
пирожное,боусера,котлета,кекс,каппучино,сладкое
защищать,защитник,защищаться,нападение,безопасность,защита
юхименко,размяукаться,бегат,забиждать,конвертский,обезьян
виновный,виноватый,проступок,раскаяние,содеять,вина
годидзе,далать,советовать,пускай,равно,говорят
девица,красавец,красотка,девушка,красота,красавица
катер,плот,судно,корма,подводный,лодка
должность,служба,начальник,занимать,заместитель,пост
пернатое,птичий,птичка,голубь,ворона,птица
